Institution,ms,folio,Book of bible,link 
Biblioteca Statale del Monumento Nazionale di Montecassino,MCassArcPriv3,1007r,Marcus,/
Biblioteca Statale del Monumento Nazionale di Montecassino,MCassArcPriv3,106r,Judges,/
Louvre Abu Dhabi,LAD 2013.051,/,/,/
Bodleian Library,BodleianLibrarye7,208r,Proverbs,/
Columbia University Burke Library,Burke UTSM 72 ,5r,Genesis,/
university of california berkeley,UCB012,4r,Genesis,https://zenodo.org/record/6869203
Bibliothèque nationale de France,BnFLatin30,326r,Micha,https://gallica.bnf.fr/ark:/12148/btv1b10033390g
Bibliothèque nationale de France,BnFLatin14232,12r,Genesis,https://gallica.bnf.fr/ark:/12148/btv1b90725685
Bibliothèque nationale de France,BnFLatin248,377r,Esdras II,https://gallica.bnf.fr/ark:/12148/btv1b8455904r
Bibliothèque nationale de France,BnFLatin248,89r,Leviticus ,https://gallica.bnf.fr/ark:/12148/btv1b8455904r
Harvard University Houghton Library,Harvard typ 446,437r,Mark,https://digitalcollections.library.harvard.edu/catalog/990098280120203941
Harvard University Houghton Library,Harvard typ 446,39v,Exodus,https://digitalcollections.library.harvard.edu/catalog/990098280120203941
Harvard University Houghton Library,Harvard261,64r,Deuteronomy,https://digitalcollections.library.harvard.edu/catalog/990094051240203941
British Library,BritishLibAdd50003,170r,Ezra,https://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS040-002083199&indx=2&recIds=IAMS040-002083199&recIdxs=1&elementId=1&renderMode=poppedOut&displayMode=full&frbrVersion=&frbg=&&dscnt=0&scp.scps=scope%3A%28BL%29&mode=Basic&vid=IAMS_VU2&srt=rank&tab=local&vl(freeText0)=Additional%20MS%2050003&dum=true&dstmp=1676477224750
British Library,BritishLibRoyal1DI,241r,Psalms,https://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS040-002105767&indx=3&recIds=IAMS040-002105767&recIdxs=2&elementId=2&renderMode=poppedOut&displayMode=full&frbrVersion=&frbg=&&dscnt=0&scp.scps=scope%3A%28BL%29&mode=Basic&vid=IAMS_VU2&srt=rank&tab=local&vl(freeText0)=Royal%20MS%201%20DI%20Bible&dum=true&dstmp=1676478954533
Free Library of Philadelphia,Lewis EM63,front 62 6,Proverbs,https://openn.library.upenn.edu/Data/0023/html/lewis_e_m_063_001-031.html
Free Library of Philadelphia,Lewis EM63,front 63 26,Prologue to Apocalypse,https://openn.library.upenn.edu/Data/0023/html/lewis_e_m_063_001-031.html
University of California Berkeley,UCB13026,1v,Judges,https://zenodo.org/record/6869203
Biblioteca nacional de Espana,Madrid12802,373r,Corinthians,http://catalogo.bne.es/uhtbin/cgisirsi/0/x/0/05?searchdata1=biam0000005586
Schaffhausen Stadtbibliothek Ministerialbibliothek,SchaffhausenMin6,87v,IIKings,https://e-codices.unifr.ch/en/list/one/sbs/min0006
Cleveland Museum of Art,Cleveland 2008.2 ,404r,Mark,https://www.clevelandart.org/art/2008.2
Fribourg Bibliotheque cantonale et universitaire,FribourgL84,108v,Isaiah,https://e-codices.unifr.ch/en/list/one/bcuf/L0084
Fribourg Bibliotheque cantonale et universitaire,FribourgL84,60r,Ezechial,https://e-codices.unifr.ch/en/list/one/bcuf/L0084
Cleveland Museum of Art,Cleveland 2008.2 ,76v,Joshua,https://www.clevelandart.org/art/2008.2
